#    distance           U_x           U_y           U_z
            0             0             0             0
    0.0353535     0.0543318   -0.00465053             0
    0.0707071     0.0931605   -0.00854554             0
     0.106061      0.111319    -0.0114332             0
     0.141414      0.127375     -0.014786             0
     0.176768      0.143255    -0.0182638             0
     0.212121      0.159571    -0.0218603             0
     0.247475      0.176897    -0.0253937             0
     0.282828      0.194869    -0.0288806             0
     0.318182       0.21429    -0.0322404             0
     0.353535      0.234736    -0.0355061             0
     0.388889      0.255952    -0.0387012             0
     0.424242      0.278994    -0.0417099             0
     0.459596       0.30282     -0.044628             0
     0.494949      0.327689    -0.0474253             0
     0.530303      0.354096    -0.0500191             0
     0.565657      0.381247    -0.0525027             0
      0.60101      0.409614    -0.0547959             0
     0.636364      0.439135    -0.0568785             0
     0.671717      0.469333    -0.0588308             0
     0.707071      0.500833    -0.0605068             0
     0.742424       0.53311    -0.0619813             0
     0.777778       0.56597    -0.0633047             0
     0.813131      0.599947    -0.0642441             0
     0.848485      0.634233    -0.0650054             0
     0.883838      0.668933    -0.0655292             0
     0.919192      0.703574    -0.0656879             0
     0.954545      0.738735    -0.0656408             0
     0.989899      0.775221    -0.0652315             0
      1.02525      0.799301    -0.0645999             0
      1.06061      0.818419    -0.0638795             0
      1.09596      0.837538     -0.063159             0
      1.13131      0.845532     -0.062204             0
      1.16667      0.852092    -0.0612188             0
      1.20202      0.858281     -0.060239             0
      1.23737      0.858352    -0.0593493             0
      1.27273      0.858423    -0.0584597             0
      1.30808      0.858647    -0.0575781             0
      1.34343      0.859386    -0.0567237             0
      1.37879      0.860126    -0.0558693             0
      1.41414      0.860807     -0.055003             0
      1.44949      0.861403    -0.0541189             0
      1.48485      0.861999    -0.0532348             0
       1.5202      0.862547    -0.0523571             0
      1.55556       0.86306    -0.0514842             0
      1.59091      0.863572    -0.0506114             0
      1.62626      0.864078     -0.049735             0
      1.66162      0.864581    -0.0488573             0
      1.69697      0.865084    -0.0479797             0
      1.73232      0.865552    -0.0471064             0
      1.76768      0.866017    -0.0462334             0
      1.80303      0.866479    -0.0453605             0
      1.83838      0.866913     -0.044488             0
      1.87374      0.867347    -0.0436155             0
      1.90909      0.867774     -0.042744             0
      1.94444      0.868178    -0.0418751             0
       1.9798      0.868583    -0.0410063             0
      2.01515      0.868975    -0.0401386             0
      2.05051      0.869351    -0.0392723             0
      2.08586      0.869727     -0.038406             0
      2.12121      0.870087    -0.0375419             0
      2.15657      0.870437    -0.0366794             0
      2.19192      0.870786    -0.0358168             0
      2.22727      0.871116    -0.0349567             0
      2.26263      0.871441    -0.0340972             0
      2.29798      0.871765    -0.0332378             0
      2.33333      0.872068    -0.0323824             0
      2.36869       0.87237    -0.0315273             0
      2.40404      0.872669    -0.0306725             0
      2.43939       0.87295    -0.0298203             0
      2.47475      0.873231    -0.0289682             0
       2.5101      0.873505    -0.0281172             0
      2.54545      0.873758    -0.0272693             0
      2.58081      0.874011    -0.0264214             0
      2.61616      0.874241    -0.0255744             0
      2.65152      0.874444    -0.0247283             0
      2.68687      0.874647    -0.0238823             0
      2.72222       0.87482    -0.0230358             0
      2.75758      0.874974    -0.0221889             0
      2.79293      0.875129    -0.0213421             0
      2.82828      0.875427    -0.0205018             0
      2.86364      0.875762    -0.0196632             0
      2.89899      0.876096    -0.0188246             0
      2.93434      0.877231     -0.018018             0
       2.9697      0.878389    -0.0172123             0
      3.00505      0.879655    -0.0164115             0
       3.0404       0.88157    -0.0156396             0
      3.07576      0.883484    -0.0148677             0
      3.11111      0.884249    -0.0140748             0
      3.14646      0.882503     -0.013236             0
      3.18182      0.880758    -0.0123973             0
      3.21717      0.872543    -0.0112971             0
      3.25253      0.857479   -0.00992021             0
      3.28788      0.842415   -0.00854331             0
      3.32323       0.80443   -0.00702713             0
      3.35859      0.754486   -0.00543829             0
      3.39394      0.704542   -0.00384945             0
      3.42929      0.492107   -0.00252924             0
      3.46465      0.246054   -0.00126462             0
          3.5   3.09077e-15  -1.58854e-17             0
