#    distance           U_x           U_y           U_z
            0             0             0             0
    0.0353535     -0.120287   -0.00374789             0
    0.0707071     -0.181759   -0.00706973             0
     0.106061     -0.164811    -0.0098235             0
     0.141414     -0.147336    -0.0129394             0
     0.176768     -0.129369    -0.0161577             0
     0.212121     -0.110389    -0.0194807             0
     0.247475    -0.0899666    -0.0228359             0
     0.282828    -0.0686375    -0.0262081             0
     0.318182    -0.0453318    -0.0296059             0
     0.353535    -0.0206057    -0.0330272             0
     0.388889     0.0051857    -0.0364661             0
     0.424242     0.0336095    -0.0399526             0
     0.459596     0.0632245    -0.0434585             0
     0.494949     0.0944277    -0.0469904             0
     0.530303      0.128158    -0.0505529             0
     0.565657      0.163213    -0.0541253             0
      0.60101      0.200523    -0.0577097             0
     0.636364      0.240241    -0.0612818             0
     0.671717      0.281424    -0.0648384             0
     0.707071      0.325621    -0.0683323             0
     0.742424      0.371901    -0.0717429             0
     0.777778      0.419745    -0.0750909             0
     0.813131      0.471389    -0.0782065             0
     0.848485       0.52464    -0.0811697             0
     0.883838      0.580033    -0.0839294             0
     0.919192      0.638007    -0.0862884             0
     0.954545      0.698783    -0.0884602             0
     0.989899       0.76549    -0.0903309             0
      1.02525      0.814294    -0.0909731             0
      1.06061      0.855937    -0.0911238             0
      1.09596      0.897579    -0.0912746             0
      1.13131      0.919543    -0.0900532             0
      1.16667      0.938968    -0.0886547             0
      1.20202      0.957287    -0.0872283             0
      1.23737       0.95734    -0.0853418             0
      1.27273      0.957393    -0.0834552             0
      1.30808      0.957179    -0.0816117             0
      1.34343      0.956061    -0.0799132             0
      1.37879      0.954943    -0.0782148             0
      1.41414      0.954192    -0.0765463             0
      1.44949      0.953993    -0.0749228             0
      1.48485      0.953793    -0.0732993             0
       1.5202      0.953515    -0.0717165             0
      1.55556      0.953178    -0.0701644             0
      1.59091      0.952841    -0.0686122             0
      1.62626      0.952531    -0.0671011             0
      1.66162       0.95223    -0.0656042             0
      1.69697      0.951929    -0.0641073             0
      1.73232      0.951646    -0.0626625             0
      1.76768      0.951365    -0.0612226             0
      1.80303      0.951086    -0.0597871             0
      1.83838      0.950829    -0.0583987             0
      1.87374      0.950572    -0.0570103             0
      1.90909      0.950319    -0.0556326             0
      1.94444      0.950081    -0.0542857             0
       1.9798      0.949842    -0.0529388             0
      2.01515      0.949612    -0.0516114             0
      2.05051      0.949395    -0.0503103             0
      2.08586      0.949177    -0.0490091             0
      2.12121       0.94897    -0.0477275             0
      2.15657      0.948771    -0.0464589             0
      2.19192      0.948572    -0.0451903             0
      2.22727      0.948388    -0.0439501             0
      2.26263      0.948208    -0.0427181             0
      2.29798      0.948028    -0.0414862             0
      2.33333      0.947865    -0.0402809             0
      2.36869      0.947703    -0.0390771             0
      2.40404      0.947544    -0.0378763             0
      2.43939        0.9474    -0.0366992             0
      2.47475      0.947257    -0.0355221             0
       2.5101       0.94712    -0.0343526             0
      2.54545      0.946996    -0.0332021             0
      2.58081      0.946872    -0.0320515             0
      2.61616      0.946756    -0.0309074             0
      2.65152      0.946649     -0.029771             0
      2.68687      0.946541    -0.0286346             0
      2.72222      0.946435    -0.0275179             0
      2.75758       0.94633     -0.026413             0
      2.79293      0.946225     -0.025308             0
      2.82828      0.946116    -0.0241909             0
      2.86364      0.946005    -0.0230708             0
      2.89899      0.945895    -0.0219506             0
      2.93434       0.94602    -0.0209001             0
       2.9697      0.946151    -0.0198516             0
      3.00505       0.94644    -0.0187941             0
       3.0404      0.947671    -0.0176824             0
      3.07576      0.948903    -0.0165707             0
      3.11111      0.950359    -0.0155313             0
      3.14646      0.952305    -0.0146496             0
      3.18182      0.954252     -0.013768             0
      3.21717      0.952225    -0.0127763             0
      3.25253       0.94599    -0.0116681             0
      3.28788      0.939756    -0.0105598             0
      3.32323       0.90947   -0.00886307             0
      3.35859      0.866637   -0.00685934             0
      3.39394      0.823803   -0.00485562             0
      3.42929      0.577295   -0.00319039             0
      3.46465      0.288648   -0.00159519             0
          3.5             0             0             0
